"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeModelChildReport.section.section","BeModelChildReport.section.section","","","",0,*,"","","","null {[]} {[]}
","Child sections","Child sections","","","","","","","","","",,,,,"",,,,"BeModelDocument.section.section",0,*,"",""
"BeModelChildReport.entries","BeModelChildReport.entries","","","",0,*,"","","","BackboneElement {[]} {[]}
","Entries (CareSets) in the document","Entries (CareSets) in the document","","","","","","","","","",,,,,"",,,,"BeModelDocument.entries",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BeModelChildReport.entries.id","BeModelChildReport.entries.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BeModelChildReport.entries.extension","BeModelChildReport.entries.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelChildReport.entries.modifierExtension","BeModelChildReport.entries.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelChildReport.entries.reference","BeModelChildReport.entries.reference","","","",1,1,"","","","Reference {[]} {[]}
","FHIR reference (e.g., CarePlan/1, Observation/2)","FHIR reference (e.g., CarePlan/1, Observation/2)","","","","","","","","","",,,,,"",,,,"BeModelDocument.entries.reference",1,1,"",""
"BeModelChildReport.presentedForm","BeModelChildReport.presentedForm","","","",1,1,"","","","Attachment {[]} {[]}
","Child report PDF file","A base64 encoded PDF file with the remaining child report information (biometric data, charts, etc.).","","","","","","","","","",,,,,"",,,,"BeModelDocument.presentedForm",0,*,"",""
"BeModelChildReport.pregnancyDetails","BeModelChildReport.pregnancyDetails","","","",0,1,"","","","Base {[]} {[]}
","Pregnancy details","Details about the pregnancy.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.pregnancyDetails",0,1,"",""
"BeModelChildReport.pregnancyDetails.durationOfPregnancy","BeModelChildReport.pregnancyDetails.durationOfPregnancy","","","",0,1,"","","","Base {[]} {[]}
","[BeClinicalObservation] The duration of pregnancy in weeks, as an observation.","[BeClinicalObservation] The duration of pregnancy in weeks, as an observation.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.pregnancyDetails.durationOfPregnancy",0,1,"",""
"BeModelChildReport.pregnancyDetails.durationOfPregnancy.subject","BeModelChildReport.pregnancyDetails.durationOfPregnancy.subject","","","",1,1,"","","","Reference {[]} {[]}
","Child","subject","","","","","","","","","",,,,,"",,,,"BeModelChildReport.pregnancyDetails.durationOfPregnancy.subject",1,1,"",""
"BeModelChildReport.pregnancyDetails.durationOfPregnancy.code","BeModelChildReport.pregnancyDetails.durationOfPregnancy.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Length of gestation at birth","Length of gestation at birth","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://snomed.info/sct""/>
    <code value=""412726003""/>
    <display value=""Length of gestation at birth""/>
  </coding>
</valueCodeableConcept>","","","",,,,,"",,,,"BeModelChildReport.pregnancyDetails.durationOfPregnancy.code",1,1,"",""
"BeModelChildReport.pregnancyDetails.durationOfPregnancy.valueInteger","BeModelChildReport.pregnancyDetails.durationOfPregnancy.valueInteger","","","",1,1,"","","","integer {[]} {[]}
","The duration of pregnancy in weeks","The duration of pregnancy in weeks","","","","","","","","","",,,,,"",,,,"BeModelChildReport.pregnancyDetails.durationOfPregnancy.valueInteger",1,1,"",""
"BeModelChildReport.pregnancyDetails.pregnancyCMVInfection","BeModelChildReport.pregnancyDetails.pregnancyCMVInfection","","","",0,1,"","","","Base {[]} {[]}
","[BeClinicalObservation] Pregnancy CMV infection","Indicates whether CMV infection occurred during pregnancy.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.pregnancyDetails.pregnancyCMVInfection",0,1,"",""
"BeModelChildReport.pregnancyDetails.pregnancyCMVInfection.subject","BeModelChildReport.pregnancyDetails.pregnancyCMVInfection.subject","","","",1,1,"","","","Reference {[]} {[]}
","Child","subject","","","","","","","","","",,,,,"",,,,"BeModelChildReport.pregnancyDetails.pregnancyCMVInfection.subject",1,1,"",""
"BeModelChildReport.pregnancyDetails.pregnancyCMVInfection.code","BeModelChildReport.pregnancyDetails.pregnancyCMVInfection.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","CMV infection during pregnancy","CMV infection during pregnancy","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://snomed.info/sct""/>
    <code value=""28944009""/>
    <display value=""Cytomegalovirus infection""/>
  </coding>
</valueCodeableConcept>","","","",,,,,"",,,,"BeModelChildReport.pregnancyDetails.pregnancyCMVInfection.code",1,1,"",""
"BeModelChildReport.pregnancyDetails.pregnancyCMVInfection.valueBoolean","BeModelChildReport.pregnancyDetails.pregnancyCMVInfection.valueBoolean","","","",1,1,"","","","boolean {[]} {[]}
","Indicates whether CMV infection occurred during pregnancy.","The value indicates whether the mother had a CMV infection during pregnancy.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.pregnancyDetails.pregnancyCMVInfection.valueBoolean",1,1,"",""
"BeModelChildReport.bacterialMeningitis","BeModelChildReport.bacterialMeningitis","","","",0,1,"","","","Base {[]} {[]}
","[BeClinicalObservation] Bacterial meningitis","Indicates whether bacterial meningitis occurred during pregnancy.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.bacterialMeningitis",0,1,"",""
"BeModelChildReport.bacterialMeningitis.code","BeModelChildReport.bacterialMeningitis.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code","Code","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://snomed.info/sct""/>
    <code value=""95883001""/>
    <display value=""Bacterial meningitis""/>
  </coding>
</valueCodeableConcept>","","","",,,,,"",,,,"BeModelChildReport.bacterialMeningitis.code",1,1,"",""
"BeModelChildReport.bacterialMeningitis.subject","BeModelChildReport.bacterialMeningitis.subject","","","",1,1,"","","","Reference {[]} {[]}
","Child","subject","","","","","","","","","",,,,,"",,,,"BeModelChildReport.bacterialMeningitis.subject",1,1,"",""
"BeModelChildReport.bacterialMeningitis.valueBoolean","BeModelChildReport.bacterialMeningitis.valueBoolean","","","",1,1,"","","","boolean {[]} {[]}
","Indicates whether bacterial meningitis occurred during pregnancy.","The value indicates whether the mother had a bacterial meningitis during pregnancy.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.bacterialMeningitis.valueBoolean",1,1,"",""
"BeModelChildReport.neonatalHearingScreeningLeft","BeModelChildReport.neonatalHearingScreeningLeft","","","",0,1,"","","","Base {[]} {[]}
","[BeClinicalObservation] Left ear result","Result of neonatal hearing screening for the left ear.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.neonatalHearingScreeningLeft",0,1,"",""
"BeModelChildReport.neonatalHearingScreeningLeft.date","BeModelChildReport.neonatalHearingScreeningLeft.date","","","",1,1,"","","","date {[]} {[]}
","Date of neonatal hearing screening","The date of neonatal hearing screening.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.neonatalHearingScreeningLeft.date",1,1,"",""
"BeModelChildReport.neonatalHearingScreeningLeft.subject","BeModelChildReport.neonatalHearingScreeningLeft.subject","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient]]}
","Child that the report is about","The child that the report is about.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.neonatalHearingScreeningLeft.subject",1,1,"",""
"BeModelChildReport.neonatalHearingScreeningLeft.code","BeModelChildReport.neonatalHearingScreeningLeft.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Result of neonatal hearing screening - left","Result of neonatal hearing screening - left","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://snomed.info/sct""/>
    <code value=""102972004""/>
    <display value=""Brain stem auditory evoked potential, function""/>
  </coding>
</valueCodeableConcept>","","","",,,,,"",,,,"BeModelChildReport.neonatalHearingScreeningLeft.code",1,1,"",""
"BeModelChildReport.neonatalHearingScreeningLeft.valueCode","BeModelChildReport.neonatalHearingScreeningLeft.valueCode","","","",1,1,"","","","code {[]} {[]}
","Result of neonatal hearing screening (left ear)","Neonatal hearing screening result for the left ear.","","","","","","","","","",,"required","","https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/vs-neonatal-hearing-screening-results","",,,,"BeModelChildReport.neonatalHearingScreeningLeft.valueCode",1,1,"",""
"BeModelChildReport.neonatalHearingScreeningRight","BeModelChildReport.neonatalHearingScreeningRight","","","",0,1,"","","","Base {[]} {[]}
","[BeClinicalObservation] Right ear result","Result of neonatal hearing screening for the right ear.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.neonatalHearingScreeningRight",0,1,"",""
"BeModelChildReport.neonatalHearingScreeningRight.date","BeModelChildReport.neonatalHearingScreeningRight.date","","","",1,1,"","","","date {[]} {[]}
","Date of neonatal hearing screening","The date of neonatal hearing screening.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.neonatalHearingScreeningRight.date",1,1,"",""
"BeModelChildReport.neonatalHearingScreeningRight.subject","BeModelChildReport.neonatalHearingScreeningRight.subject","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient]]}
","Child that the report is about","The child that the report is about.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.neonatalHearingScreeningRight.subject",1,1,"",""
"BeModelChildReport.neonatalHearingScreeningRight.code","BeModelChildReport.neonatalHearingScreeningRight.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Result of neonatal hearing screening - right","Result of neonatal hearing screening - right","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://snomed.info/sct""/>
    <code value=""102972004""/>
    <display value=""Brain stem auditory evoked potential, function""/>
  </coding>
</valueCodeableConcept>","","","",,,,,"",,,,"BeModelChildReport.neonatalHearingScreeningRight.code",1,1,"",""
"BeModelChildReport.neonatalHearingScreeningRight.valueCode","BeModelChildReport.neonatalHearingScreeningRight.valueCode","","","",1,1,"","","","code {[]} {[]}
","Result of neonatal hearing screening (right ear)","Neonatal hearing screening result for the right ear.","","","","","","","","","",,"required","","https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/vs-neonatal-hearing-screening-results","",,,,"BeModelChildReport.neonatalHearingScreeningRight.valueCode",1,1,"",""
"BeModelChildReport.severeHeadTrauma","BeModelChildReport.severeHeadTrauma","","","",0,1,"","","","Base {[]} {[]}
","[BeProblem] Severe head trauma","Indicates whether severe head trauma was identified.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.severeHeadTrauma",0,1,"",""
"BeModelChildReport.severeHeadTrauma.subject","BeModelChildReport.severeHeadTrauma.subject","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient]]}
","Child that the report is about","The child that the report is about.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.severeHeadTrauma.subject",1,1,"",""
"BeModelChildReport.severeHeadTrauma.date","BeModelChildReport.severeHeadTrauma.date","","","",1,1,"","","","date {[]} {[]}
","Date of reporting the trauma.","Date of reporting the trauma.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.severeHeadTrauma.date",1,1,"",""
"BeModelChildReport.severeHeadTrauma.code","BeModelChildReport.severeHeadTrauma.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code","Code","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://snomed.info/sct""/>
    <code value=""127296001""/>
    <display value=""Intracranial injury""/>
  </coding>
</valueCodeableConcept>","","","",,,,,"",,,,"BeModelChildReport.severeHeadTrauma.code",1,1,"",""
"BeModelChildReport.severeHeadTrauma.valueBoolean","BeModelChildReport.severeHeadTrauma.valueBoolean","","","",1,1,"","","","boolean {[]} {[]}
","Indicates whether severe head trauma was identified.","The value indicates whether severe head trauma was identified in the child.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.severeHeadTrauma.valueBoolean",1,1,"",""
"BeModelChildReport.eyeScreening","BeModelChildReport.eyeScreening","","","",0,*,"","","","BackboneElement {[]} {[]}
","[BeClinicalObservation] Eye screening","Details about the eye screening.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.eyeScreening",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BeModelChildReport.eyeScreening.id","BeModelChildReport.eyeScreening.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BeModelChildReport.eyeScreening.extension","BeModelChildReport.eyeScreening.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelChildReport.eyeScreening.modifierExtension","BeModelChildReport.eyeScreening.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelChildReport.eyeScreening.subject","BeModelChildReport.eyeScreening.subject","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient]]}
","Child that the report is about","The child that the report is about.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.eyeScreening.subject",1,1,"",""
"BeModelChildReport.eyeScreening.date","BeModelChildReport.eyeScreening.date","","","",1,1,"","","","date {[]} {[]}
","Date of eye screening","The date of eye screening.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.eyeScreening.date",1,1,"",""
"BeModelChildReport.eyeScreening.code","BeModelChildReport.eyeScreening.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code","Code","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://snomed.info/sct""/>
    <code value=""363926002""/>
    <display value=""Eye/vision observable""/>
  </coding>
</valueCodeableConcept>","","","",,,,,"",,,,"BeModelChildReport.eyeScreening.code",1,1,"",""
"BeModelChildReport.eyeScreening.valueCodeableConcept","BeModelChildReport.eyeScreening.valueCodeableConcept","","","",1,1,"","","","code {[]} {[]}
","Result of eye screening","Result of eye screening.","","","","","","","","","",,"required","","https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/vs-eye-screening-results","",,,,"BeModelChildReport.eyeScreening.valueCodeableConcept",1,1,"",""
"BeModelChildReport.eyeResults","BeModelChildReport.eyeResults","","","",0,*,"","","","Base {[]} {[]}
","Eye","Details about the eyes.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.eyeResults",0,*,"",""
"BeModelChildReport.eyeResults.inspectionPupilAbnormal","BeModelChildReport.eyeResults.inspectionPupilAbnormal","","","",0,1,"","","","BackboneElement {[]} {[]}
","[BeClinicalObservation] Inspection pupil abnormal","Details about the inspection of the pupil.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.eyeResults.inspectionPupilAbnormal",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BeModelChildReport.eyeResults.inspectionPupilAbnormal.id","BeModelChildReport.eyeResults.inspectionPupilAbnormal.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BeModelChildReport.eyeResults.inspectionPupilAbnormal.extension","BeModelChildReport.eyeResults.inspectionPupilAbnormal.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelChildReport.eyeResults.inspectionPupilAbnormal.modifierExtension","BeModelChildReport.eyeResults.inspectionPupilAbnormal.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelChildReport.eyeResults.inspectionPupilAbnormal.subject","BeModelChildReport.eyeResults.inspectionPupilAbnormal.subject","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient]]}
","Child that the report is about","The child that the report is about.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.eyeResults.inspectionPupilAbnormal.subject",1,1,"",""
"BeModelChildReport.eyeResults.inspectionPupilAbnormal.date","BeModelChildReport.eyeResults.inspectionPupilAbnormal.date","","","",1,1,"","","","date {[]} {[]}
","Date of abnormal pupil inspection finding","Date of abnormal pupil inspection finding.","","","","","","","","","",,,,,"",,,,"BeModelChildReport.eyeResults.inspectionPupilAbnormal.date",1,1,"",""
